Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,cluster,Latitude,Longitude,City Based on Longitude Latitude
Indonesia,Pontianak,44,Good,1,Good,15,Good,0,Good,44,Good,3,-0.0226903,109.3447488,"-0.0226903, 109.3447488"
Indonesia,Tidore,21,Good,0,Good,13,Good,0,Good,21,Good,3,0.6786796,127.4483156,"0.6786796, 127.4483156"
Indonesia,Sungaipenuh,17,Good,1,Good,13,Good,0,Good,17,Good,3,-2.0704139,101.3680585,"-2.0704139, 101.3680585"
Indonesia,Tarogong,88,Moderate,2,Good,53,Moderate,1,Good,88,Moderate,0,-7.1900014,107.8898516,"-7.1900014, 107.8898516"
Indonesia,Binjai,92,Moderate,2,Good,45,Good,0,Good,92,Moderate,0,3.6063964,98.4899865,"3.6063964, 98.4899865"
Indonesia,Pamekasan,54,Moderate,1,Good,35,Good,0,Good,54,Moderate,3,-7.1605439,113.4826273,"-7.1605439, 113.4826273"
Indonesia,Prabumulih,49,Good,1,Good,30,Good,0,Good,49,Good,3,-3.4382688,104.2310181,"-3.4382688, 104.2310181"
Indonesia,Pringsewu,63,Moderate,2,Good,40,Good,0,Good,63,Moderate,0,-5.36668925,104.9722121,"-5.36668925, 104.9722121"
Indonesia,Lubuk Pakam,98,Moderate,2,Good,47,Good,0,Good,98,Moderate,0,3.5603701,98.8766933,"3.5603701, 98.8766933"
Indonesia,Mojoagung,155,Unhealthy,3,Good,91,Moderate,2,Good,155,Unhealthy,1,-7.5699054,112.344923,"-7.5699054, 112.344923"
Indonesia,Lamongan,167,Unhealthy,3,Good,123,Unhealthy for Sensitive Groups,1,Good,167,Unhealthy,1,-7.12293185,112.3281935,"-7.12293185, 112.3281935"
Indonesia,Karang Tengah,105,Unhealthy for Sensitive Groups,2,Good,59,Moderate,1,Good,105,Unhealthy for Sensitive Groups,0,-6.2179617,106.7071278,"-6.2179617, 106.7071278"
Indonesia,Kembaran,54,Moderate,1,Good,29,Good,1,Good,54,Moderate,3,-7.3940996,109.987961,"-7.3940996, 109.987961"
Indonesia,Malang,67,Moderate,1,Good,36,Good,0,Good,67,Moderate,0,-7.9771206,112.6340291,"-7.9771206, 112.6340291"
Indonesia,Kutoarjo,58,Moderate,1,Good,28,Good,0,Good,58,Moderate,3,-7.72603,109.9070809,"-7.72603, 109.9070809"
Indonesia,Mataram,34,Good,1,Good,25,Good,0,Good,34,Good,3,-8.5837726,116.10685,"-8.5837726, 116.10685"
Indonesia,Mertoyudan,66,Moderate,1,Good,32,Good,1,Good,66,Moderate,0,-7.5108329,110.2241571,"-7.5108329, 110.2241571"
Indonesia,Driyorejo,157,Unhealthy,2,Good,84,Moderate,2,Good,157,Unhealthy,1,-7.3654117,112.6017226,"-7.3654117, 112.6017226"
Indonesia,Ngaglik,60,Moderate,1,Good,29,Good,1,Good,60,Moderate,3,-7.7325636,111.3093583,"-7.7325636, 111.3093583"
Indonesia,Purwakarta,101,Unhealthy for Sensitive Groups,2,Good,90,Moderate,1,Good,101,Unhealthy for Sensitive Groups,0,-6.5607313,107.4439799,"-6.5607313, 107.4439799"
Indonesia,Palembang,74,Moderate,2,Good,47,Good,0,Good,74,Moderate,0,-2.9888243,104.7568507,"-2.9888243, 104.7568507"
Indonesia,Pameungpeuk,97,Moderate,2,Good,70,Moderate,1,Good,97,Moderate,0,-7.6318844,107.7307524,"-7.6318844, 107.7307524"
Indonesia,Leuwiliang,264,Very Unhealthy,15,Good,8,Good,52,Moderate,264,Very Unhealthy,2,-6.5745161,106.6343847,"-6.5745161, 106.6343847"
Indonesia,Sidareja,189,Unhealthy,10,Good,7,Good,25,Good,189,Unhealthy,2,-7.4863529,108.8075095,"-7.4863529, 108.8075095"
Indonesia,Wlingi,176,Unhealthy,8,Good,10,Good,17,Good,176,Unhealthy,2,-8.0884268,112.3198687,"-8.0884268, 112.3198687"
Indonesia,Mlonggo,82,Moderate,2,Good,50,Good,1,Good,82,Moderate,0,-6.5920048,110.6758943,"-6.5920048, 110.6758943"
Indonesia,Ngoro,121,Unhealthy for Sensitive Groups,2,Good,60,Moderate,1,Good,121,Unhealthy for Sensitive Groups,1,-7.675317,112.261647,"-7.675317, 112.261647"
Indonesia,Ciampea,154,Unhealthy,4,Good,154,Unhealthy,2,Good,126,Unhealthy for Sensitive Groups,1,-6.57894495,106.7019724,"-6.57894495, 106.7019724"
